model,input_dim,architecture,train_time_s,inference_us,epochs_run,n_windows,eval_stride,rel_Tb_mean_%,rel_X_mean_%,rel_Tb_p90_%,rel_X_p90_%,mae_Tb_mean_K,mae_X_mean,rel_Tb_at_1s_%,rel_Tb_at_30s_%
"lag-1 fixed [64,64]",9,"[64,64]",881.7,75.1,39,1461761,1,0.453,0.1902,0.8928,0.3981,1.3589,0.001902,0.0642,0.7393
"lag-2 fixed [64,64]",11,"[64,64]",2523.9,72.75,113,1458917,1,0.6851,0.5906,1.3891,1.2652,2.0552,0.005906,0.063,1.2874
"lag-3 fixed [64,64]",13,"[64,64]",3829.2,79.94,152,1456073,1,0.763,0.8316,1.4522,1.8494,2.2889,0.008316,0.0519,1.468
"lag-4 fixed [64,64]",15,"[64,64]",2269.7,88.96,87,1453229,1,0.5769,0.4092,1.0876,0.9235,1.7306,0.004092,0.0526,0.9442
"lag-5 fixed [64,64]",17,"[64,64]",2092.9,87.23,81,1450385,1,0.6798,0.594,1.2515,1.2246,2.0393,0.00594,0.0522,1.2195
"lag-1 tuned [85,30]",9,"[85,30]",2028.7,80.41,78,1461761,1,0.39,0.1253,0.7723,0.2518,1.17,0.001253,0.0649,0.5709
"lag-2 tuned [100,40]",11,"[100,40]",1758.1,75.35,66,1458917,1,0.3708,0.0909,0.7142,0.1822,1.1125,0.000909,0.0625,0.533
"lag-3 tuned [85,30]",13,"[85,30]",675.6,74.14,29,1456073,1,0.4076,0.1246,0.7806,0.2471,1.2228,0.001246,0.0659,0.5974
"lag-4 tuned [100,40]",15,"[100,40]",2251.9,71.72,97,1453229,1,0.4473,0.1158,0.8529,0.2215,1.342,0.001158,0.0663,0.6721
"lag-5 tuned [85,30]",17,"[85,30]",3584.4,108.97,137,1450385,1,0.4134,0.0919,0.8501,0.1876,1.2402,0.000919,0.0641,0.5974
