number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
10,0.6241206005215645,2026-04-20 05:02:55.700320,2026-04-20 05:41:07.247020,0 days 00:38:11.546700,100,40,0.00042946755140337527,1.1799062523159305e-06,0.5025591254234314,0.12156147509813309,97,COMPLETE
11,0.6480180472135544,2026-04-20 05:41:07.247595,2026-04-20 06:19:11.672781,0 days 00:38:04.425186,100,40,0.0005021342798999926,1.2238102352764629e-06,0.48738449811935425,0.16063354909420013,97,COMPLETE
5,0.7256835550069809,2026-04-20 03:56:53.859322,2026-04-20 04:18:24.671154,0 days 00:21:30.811832,65,20,0.0003135775732257748,2.9204338471814107e-05,0.5499557852745056,0.17572776973247528,57,COMPLETE
14,0.7320823520421982,2026-04-20 06:51:59.842738,2026-04-20 07:15:55.250083,0 days 00:23:55.407345,85,65,0.00038763836350460477,3.7702059188218185e-06,0.5541046857833862,0.17797766625881195,61,COMPLETE
13,0.7544572055339813,2026-04-20 06:37:17.119476,2026-04-20 06:51:59.842178,0 days 00:14:42.722702,100,40,0.0008174627645906509,1.2024346279459768e-06,0.5965473055839539,0.15790989995002747,38,COMPLETE
3,0.7687548249959946,2026-04-20 03:25:26.256748,2026-04-20 03:40:27.945192,0 days 00:15:01.688444,85,30,0.00020366442026830908,5.415244119402541e-06,0.5982360243797302,0.17051880061626434,39,COMPLETE
12,0.8175340443849564,2026-04-20 06:19:11.673337,2026-04-20 06:37:17.118930,0 days 00:18:05.445593,100,45,0.0004906690811011229,1.045464234001662e-06,0.5865709185600281,0.23096312582492828,46,COMPLETE
7,0.8675671368837357,2026-04-20 04:27:10.545693,2026-04-20 04:41:47.368484,0 days 00:14:36.822791,65,10,0.001076962247826313,4.809461967501575e-06,0.6765896677970886,0.19097746908664703,39,COMPLETE
6,0.8729179799556732,2026-04-20 04:18:24.671719,2026-04-20 04:27:10.545155,0 days 00:08:45.873436,50,80,0.00021839352923182988,0.00011400863701127338,0.6079083681106567,0.2650096118450165,23,COMPLETE
4,0.9135050475597382,2026-04-20 03:40:27.945821,2026-04-20 03:56:53.858733,0 days 00:16:25.912912,35,55,0.0005418282319533242,1.461896279370496e-05,0.7342761158943176,0.17922893166542053,44,COMPLETE
9,1.236264318227768,2026-04-20 04:51:13.024678,2026-04-20 05:02:55.699759,0 days 00:11:42.675081,35,15,0.0014537555576161927,5.762487216478604e-05,0.9652204513549805,0.2710438668727875,33,COMPLETE
0,1.2589522898197174,2026-04-20 02:57:39.094876,2026-04-20 03:09:28.651363,0 days 00:11:49.556487,45,100,0.0017524101118128151,0.0002481040974867811,0.9125353097915649,0.34641698002815247,30,COMPLETE
1,1.8010056614875793,2026-04-20 03:09:28.651994,2026-04-20 03:15:33.684757,0 days 00:06:05.032763,20,20,0.00012551115172973836,0.0029154431891537554,0.8877040147781372,0.9133016467094421,17,COMPLETE
8,1.9916607737541199,2026-04-20 04:41:47.369025,2026-04-20 04:51:13.024103,0 days 00:09:25.655078,15,100,0.0043709904681305065,0.0017123375973163992,0.9574810862541199,1.0341796875,25,COMPLETE
2,2.6619179248809814,2026-04-20 03:15:33.685364,2026-04-20 03:25:26.256159,0 days 00:09:52.570795,65,75,0.00010838581269344756,0.00757947995334801,1.1908291578292847,1.4710887670516968,25,COMPLETE
