model,input_dim,architecture,train_time_s,inference_us,epochs_run,n_windows,eval_stride,rel_Tb_mean_%,rel_X_mean_%,rel_Tb_p90_%,rel_X_p90_%,mae_Tb_mean_K,mae_X_mean,rel_Tb_at_1s_%,rel_Tb_at_30s_%
"lag-1 fixed [64,64]",9,"[64,64]",2702.0,71.14,67,2000451,1,0.4681,0.2287,0.9235,0.4211,1.4043,0.002287,0.0647,0.7309
"lag-2 fixed [64,64]",11,"[64,64]",2296.6,88.36,57,1996640,1,0.4653,0.3022,0.8975,0.6523,1.396,0.003022,0.0617,0.7665
"lag-3 fixed [64,64]",13,"[64,64]",2844.0,90.3,71,1992829,1,0.6527,0.5184,1.3077,1.2617,1.958,0.005184,0.0509,1.1774
"lag-4 fixed [64,64]",15,"[64,64]",2527.3,70.5,63,1989018,1,0.5681,0.3231,1.1554,0.6173,1.7042,0.003231,0.0486,0.9857
"lag-5 fixed [64,64]",17,"[64,64]",2834.8,79.62,71,1985207,1,0.71,0.6496,1.3429,1.273,2.1299,0.006496,0.0497,1.3329
"lag-1 tuned [100,40]",9,"[100,40]",1732.5,72.15,55,2000451,1,0.3946,0.0996,0.7552,0.2013,1.1838,0.000996,0.0642,0.5776
"lag-2 tuned [80,45]",11,"[80,45]",972.4,71.03,32,1996640,1,0.4557,0.1766,0.8707,0.3647,1.3671,0.001766,0.0666,0.7022
"lag-3 tuned [85,30]",13,"[85,30]",1334.3,86.69,33,1992829,1,0.4286,0.115,0.7886,0.2271,1.2857,0.00115,0.0667,0.628
"lag-4 tuned [100,40]",15,"[100,40]",2955.4,76.02,71,1989018,1,0.4741,0.1342,0.9711,0.2664,1.4223,0.001342,0.0676,0.7166
"lag-5 tuned [85,30]",17,"[85,30]",2084.8,74.31,68,1985207,1,0.4252,0.0922,0.838,0.183,1.2756,0.000922,0.0659,0.6197
