number,value,datetime_start,datetime_complete,duration,params_hidden1,params_hidden2,params_lr,params_weight_decay,user_attrs_rel_Tb_%,user_attrs_rel_X_%,user_attrs_stopped_epoch,state
14,0.48098061978816986,2026-04-24 13:19:57.722228,2026-04-24 13:42:13.327333,0 days 00:22:15.605105,85,30,0.00021619757530373814,3.7702059188218185e-06,0.3644164204597473,0.11656419932842255,33,COMPLETE
10,0.4950372278690338,2026-04-24 11:05:13.072872,2026-04-24 11:38:05.106629,0 days 00:32:52.033757,100,40,0.0004231156845697546,1.1799062523159305e-06,0.3334367871284485,0.16160044074058533,52,COMPLETE
3,0.49503863602876663,2026-04-24 08:45:07.977890,2026-04-24 08:57:22.177229,0 days 00:12:14.199339,85,30,0.00020366442026830908,5.415244119402541e-06,0.392023503780365,0.10301513224840164,24,COMPLETE
12,0.5308948457241058,2026-04-24 11:55:27.565432,2026-04-24 12:50:47.262996,0 days 00:55:19.697564,100,40,0.00021488849591854808,1.0919235839151983e-06,0.3947499990463257,0.13614484667778015,81,COMPLETE
11,0.5715726166963577,2026-04-24 11:38:05.107224,2026-04-24 11:55:27.564883,0 days 00:17:22.457659,100,40,0.00041495243930302165,1.117658470798639e-06,0.40538230538368225,0.16619031131267548,26,COMPLETE
13,0.5882586240768433,2026-04-24 12:50:47.263539,2026-04-24 13:19:57.721655,0 days 00:29:10.458116,85,40,0.0008071836361246778,5.713562329560376e-06,0.4273441433906555,0.16091448068618774,43,COMPLETE
7,0.6314461827278137,2026-04-24 10:10:29.057971,2026-04-24 10:46:19.828265,0 days 00:35:50.770294,65,10,0.001076962247826313,4.809461967501575e-06,0.35325372219085693,0.2781924605369568,73,COMPLETE
6,0.6664952784776688,2026-04-24 09:47:58.692947,2026-04-24 10:10:29.057427,0 days 00:22:30.364480,50,80,0.00021839352923182988,0.00011400863701127338,0.43469059467315674,0.23180468380451202,44,COMPLETE
4,0.6682229042053223,2026-04-24 08:57:22.177815,2026-04-24 09:32:15.881649,0 days 00:34:53.703834,35,55,0.0005418282319533242,1.461896279370496e-05,0.5267126560211182,0.1415102481842041,69,COMPLETE
5,0.6799749135971069,2026-04-24 09:32:15.882257,2026-04-24 09:47:58.692392,0 days 00:15:42.810135,65,20,0.0003135775732257748,2.9204338471814107e-05,0.4944387972354889,0.18553611636161804,32,COMPLETE
9,0.9455758929252625,2026-04-24 10:54:50.552330,2026-04-24 11:05:13.072339,0 days 00:10:22.520009,35,15,0.0014537555576161927,5.762487216478604e-05,0.6504811644554138,0.29509472846984863,22,COMPLETE
0,1.0682734251022339,2026-04-24 07:56:03.423657,2026-04-24 08:12:29.156113,0 days 00:16:25.732456,45,100,0.0017524101118128151,0.0002481040974867811,0.69753497838974,0.3707384467124939,32,COMPLETE
8,1.877460777759552,2026-04-24 10:46:19.828818,2026-04-24 10:54:50.551778,0 days 00:08:30.722960,15,100,0.0043709904681305065,0.0017123375973163992,0.9136279821395874,0.9638327956199646,17,COMPLETE
1,1.9114455580711365,2026-04-24 08:12:29.156667,2026-04-24 08:27:04.859033,0 days 00:14:35.702366,20,20,0.00012551115172973836,0.0029154431891537554,0.8736909031867981,1.0377546548843384,30,COMPLETE
2,2.8482378721237183,2026-04-24 08:27:04.859578,2026-04-24 08:45:07.977322,0 days 00:18:03.117744,65,75,0.00010838581269344756,0.00757947995334801,1.2691463232040405,1.5790915489196777,34,COMPLETE
